id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status
154,9,Juniata St.,Minnesota,pots (4),1,57645,6/21/78,1978,2,9/1/14,Street Open,0,1,NA,NA,fail,
155,9,Nebraska Ave.,Juniata,pots (4),1,57645,6/21/78,1978,2,7/1/11,Street Open,0,1,NA,NA,fail,
157,9,Ohio Ave.,Arsenal St.,pots (4),1,57645,6/21/78,1978,2,7/1/11,Street Open,0,1,NA,NA,fail,
158,9,Osage St.,S. Broadway,pots (4),1,57645,6/21/78,1978,2,10/1/11,Street Open,0,1,NA,NA,fail,
159,9,Pestalozzi St.,California,,4,61691,11/20/89,1989,2,7/1/11,Street Open,0,1,NA,NA,fail,
160,9,Pennsylvania Ave.,Wyoming,pots (4),1,57645,6/21/78,1978,2,9/1/14,Street Open,0,1,NA,NA,fail,
161,9,Texas Ave.,Gravois Ave.,pots (4),1,57645,6/21/78,1978,2,7/1/11,Street Open,0,1,NA,NA,fail,
168,16,Plainview Ave.,Jamieson,,4,66922,11/23/05,2005,2,8/1/15,,0,1,NA,NA,fail,
169,16,Wabash Ave.,Lansdowne,pots (10),1,63708,3/26/96,1996,2,9/1/14,,0,1,NA,NA,fail,
172,17,Berthold Ave.,Hereford St.,pots (4),1,61691,11/20/89,1989,0,,,0,0,NA,NA,fail,
175,17,Gibson Ave.,Mancester Ave.,pots (4),1,62466,10/16/91,1991,1,6/1/11,SAME,0,0,NA,NA,fail,
178,17,Laclede Ave.,N. Boyle Ave,cul,3,57951,5/9/78,1978,1,7/1/15,SAME,0,0,NA,NA,fail,
179,17,Laclede Ave.,S. Taylor Ave.,pots (2),1,58292,4/2/81,1981,3,7/1/15,gate/posts (3),0,0,NA,NA,fail,
182,17,Maryland Ave.,Whittier St.,cul,3,57213,6/24/76,1976,3,5/1/15,cul/gate,0,0,NA,NA,fail,
183,17,Maryland Ave.,N. Boyle,pots (2),1,59980,1/30/86,1986,2,5/1/15,Street Open,0,1,NA,NA,fail,
187,17,Parkview Pl.,S. Euclid Ave.,,4,64504,11/23/98,1998,5,10/1/14,posts (5),0,0,NA,NA,fail,
190,17,West Pine Blvd.,N. Sarah St.,cul,3,67880,8/1/83,1983,3,5/1/15,cul/gate/posts (10)/lamppost (1)/pots (2),0,0,NA,NA,fail,
191,17,Whittier St.,McPherson Ave.,,4,67521,6/11/09,2009,5,5/1/15,pots (10)/street signs (4),0,0,NA,NA,fail,
193,17,Wise Ave.,Hereford,pots (4),1,59081,3/8/84,1984,0,,,0,0,NA,NA,fail,
195,18,Hubert Ave.,Suburban Track Lines Hodiamont Row,pots (5),1,59061,3/8/84,1984,0,,,0,0,NA,NA,fail,
196,18,Hubert Ave.,Suburban Track Lines Hodiamont Row,pots (5),1,59061,3/8/84,1984,0,,,0,0,NA,NA,fail,
200,18,Enright Ave.,Taylor,pots (10),1,65995,7/29/03,2003,3,9/1/14,fence,0,0,NA,NA,fail,
212,18,Whittier St.,Maryland,pots (4),1,64359,4/28/98,1998,9,5/1/15,wrought iron fence,0,0,NA,NA,fail,
216,20,California Ave.,Chippewa Ave,,4,57498,2/9/78,1978,2,9/1/14,Street Open,0,1,NA,NA,fail,
217,20,S. Compton Ave.,Oasge,pots (4),1,57498,2/9/78,1978,3,9/1/11,Do Not Enter Sign,0,0,NA,NA,fail,
218,20,S. Compton Ave.,Gascorade,pots (4),1,63962,2/9/78,1978,2,9/1/11,Street Open,0,1,NA,NA,fail,
219,20,Highland Ave.,Kingshighway,pots (5),1,64695,7/19/99,1999,3,8/1/15,brick and iron fence,0,0,NA,NA,fail,
220,20,Labadie Ave,Kingshighway,cul,3,57901,9/18/78,1978,1,9/1/11,SAME,0,0,NA,NA,fail,
221,20,Lotus Ave.,Kingshighway,pots (4),1,64629,2/23/99,1999,3,7/1/15,brick and iron fence,0,0,NA,NA,fail,
222,20,Maffitt Pl,Kingshighway,pots (6),1,62453,10/9/91,1991,3,9/1/14,cul and concrete posts,0,0,NA,NA,fail,
225,20,San Francisco Ave.,Kingshighway,pots,1,64557,9/18/78,1978,3,9/1/14,Do Not Enter Sign,0,0,NA,NA,fail,
226,20,Wabada Ave.,Kingshighway,pots (6),1,62502,2/1/99,1999,3,8/1/15,brick and iron fence,0,0,NA,NA,fail,
227,20,Winnebago St.,Jefferson Ave,,4,64987,7/12/00,2000,2,7/1/11,Street Open,0,1,NA,NA,fail,
236,25,Theodosis Ave.,Union,cul,3,57901,9/18/78,1978,3,,Do Not Enter Sign,0,0,NA,NA,fail,
240,26,Cabanne Ave.,Ruth Porter Mall,,4,63405,2/5/96,1996,5,8/1/11,pots(8),0,0,NA,NA,fail,
247,26,Clemens Ave.,Clara,pots (8),1,62942,7/27/93,1993,2,7/1/11,pots(4),0,1,NA,NA,fail,
254,26,Raymond Ave.,Hodiamont Streetcar Row,pots (4),1,66699,5/13/05,2005,3,10/1/11,pots(8),0,0,NA,NA,fail,
279,28,Pershing Ave,Taylor,pots (5),1,59057,3/8/84,1984,9,,,0,0,NA,NA,fail,
284,28,Waterman Blvd.,Belt,posts/chains,2,57452,12/12/77,1977,9,,,0,0,NA,NA,fail,
289,28,Westminister Pl.,Taylor,cul,3,59127,4/10/84,1984,3,7/1/15,cul and iron fence,0,0,NA,NA,fail,
291,3,N. Spring Ave,Dodier St,,4,NA,,NA,1,7/1/16,fence,0,0,NA,NA,fail,
