id,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen
197,1,7/1/15,SAME,0,0
198,1,9/1/14,SAME,0,0
199,3,7/1/15,fence,0,0
200,3,9/1/14,fence,0,0
201,1,5/1/15,SAME,0,0
202,3,5/1/15,wrought iron fence,0,0
203,1,5/1/15,SAME,0,0
204,1,5/1/15,SAME,0,0
205,5,9/1/14,pots (4),0,0
206,3,5/1/15,pots (9),0,0
207,3,5/1/15,pots (4)/fence/cul,0,0
208,3,3/1/15,raised platform,0,0
209,2,9/1/12,,0,1
210,1,7/1/15,SAME,0,0
211,5,5/1/15,pots (10),0,0
212,9,5/1/15,wrought iron fence,0,0
213,1,3/1/15,SAME,0,0
214,3,7/1/15,cul,0,0
215,3,9/1/14,pots (9),0,0
216,2,9/1/14,Street Open,0,1
217,3,9/1/11,Do Not Enter Sign,0,0
218,2,9/1/11,Street Open,0,1
219,3,8/1/15,brick and iron fence,0,0
220,1,9/1/11,SAME,0,0
221,3,7/1/15,brick and iron fence,0,0
222,3,9/1/14,cul and concrete posts,0,0
223,5,7/1/11,Do Not Enter Sign,0,0
224,1,9/1/14,SAME,0,0
225,3,9/1/14,Do Not Enter Sign,0,0
226,3,8/1/15,brick and iron fence,0,0
227,2,7/1/11,Street Open,0,1
228,1,9/1/14,SAME,0,0
229,2,9/1/14,Street Open,0,1
230,1,8/1/14,SAME,0,0
231,1,8/1/11,SAME,0,0
232,1,8/1/11,SAME,0,0
233,3,8/1/12,cul / pots(3),0,0
234,2,9/1/11,Street Open,0,1
235,1,8/1/11,SAME,0,0
236,3,,Do Not Enter Sign,0,0
237,3,5/1/15,cul/pots(4),0,0
238,3,10/1/09,pots(6),0,0
239,3,9/1/11,cul/pots(6),0,0
240,5,8/1/11,pots(8),0,0
241,3,8/1/11,pots(6),0,0
242,1,7/1/15,SAME,1,0
243,3,8/1/11,pots(4),0,0
244,9,8/1/11,Street Open,0,0
245,1,7/1/15,SAME,0,0
246,3,7/1/15,wrought iron fence,0,0
247,2,7/1/11,pots(4),0,1
248,3,9/1/14,balls(4),0,0
249,3,7/1/15,wrought iron fence,0,0
250,9,,,0,0
251,2,7/1/11,Street Open,0,1
252,1,9/1/14,SAME,0,0
253,3,10/1/11,pots(6),0,0
254,3,10/1/11,pots(8),0,0
255,1,8/1/11,SAME,0,0
256,3,9/1/14,cul/wrought iron fence,0,0
257,1,10/1/11,SAME,0,0
258,3,7/1/15,pots (7)/jersey (3),1,0
259,3,10/1/11,pots (5),0,0
260,3,8/1/11,cul,0,0
261,0,,,0,0
262,5,10/1/11,cul,0,0
263,0,,,0,0
264,2,10/1/11,Street Open,0,1
265,1,7/1/11,SAME,0,0
266,1,7/1/11,SAME,0,0
267,3,10/1/11,cul,0,0
268,1,10/1/11,SAME,0,0
269,2,7/1/15,Street Open,0,1
270,3,7/1/15,brick and iron fence,0,0
271,1,6/1/11,SAME,0,0
272,3,4/1/12,pots (3) and iron fence,0,0
273,3,7/1/11,pots (4) and iron and brick fence,1,0
274,3,10/1/14,cul and iron fence,0,0
275,3,7/1/15,cul and iron fence,0,0
276,1,10/1/14,SAME,0,0
277,1,10/1/11,SAME,0,0
278,3,7/1/15,iron fence and trees,0,0
279,9,,,0,0
280,3,10/1/11,pots(3) and posts,0,0
281,1,9/1/14,SAME,0,0
282,1,7/1/15,cul,1,0
283,2,8/1/15,Brick structure and fence,0,1
284,9,,,0,0
285,5,6/1/11,"cul, concrete pillars, and bus stop",0,0
286,3,5/1/15,iron fence and shrubs,0,0
287,3,5/1/15,cul and iron fence,0,0
288,3,4/1/12,pots(3) and fence,0,0
289,3,7/1/15,cul and iron fence,0,0
290,1,10/1/11,SAME,0,0
291,1,7/1/16,fence,0,0
